Area,Year,Temperature Change,Standard Deviation
Australia and New Zealand,1962,-0.208,0.608
Australia and New Zealand,1962,0.015,0.752
Australia and New Zealand,1962,-0.257,0.833
Australia and New Zealand,1962,0.8,0.631
Australia and New Zealand,1962,-0.137,0.708
Antarctica,1963,-0.733,1.24
Antarctica,1963,-1.16,1.084
Antarctica,1963,-0.666,1.156
Antarctica,1963,-2.956,1.868
Antarctica,1963,0.765,1.704
Antarctica,1963,2.356,1.929
Antarctica,1963,0.497,1.801
Antarctica,1963,4.004,2.216
Antarctica,1963,3.659,2.058
Antarctica,1963,-0.467,1.344
Antarctica,1963,-1.7,1.124
Antarctica,1963,0.021,1.161
South Africa,1963,-0.228,0.637
South Africa,1963,0.179,0.583
South Africa,1963,-0.735,0.625
South Africa,1963,-0.691,0.64
South Africa,1963,-0.402,0.483
South Africa,1963,0.091,0.788
South Africa,1963,-0.813,0.656
South Africa,1963,0.083,0.65
South Africa,1963,2.219,0.742
South Africa,1963,1.132,0.762
South Africa,1963,0.705,0.657
South Africa,1963,0.546,0.701
Africa,1963,0.448,0.488
Africa,1963,0.569,0.483
Africa,1963,-0.443,0.484
Africa,1963,-0.203,0.316
Africa,1963,-0.719,0.341
Africa,1963,0.004,0.292
Africa,1963,0.246,0.313
Africa,1963,0.106,0.303
Africa,1963,0.439,0.304
Africa,1963,0.138,0.304
Africa,1963,0.017,0.314
Africa,1963,0.397,0.353
Eastern Africa,1963,-0.279,0.345
Eastern Africa,1963,-0.245,0.338
Eastern Africa,1963,-0.295,0.363
Eastern Africa,1963,-0.482,0.399
Eastern Africa,1963,-0.794,0.451
Eastern Africa,1963,-0.374,0.369
Eastern Africa,1963,0.157,0.353
Eastern Africa,1963,-0.178,0.349
Eastern Africa,1963,-0.041,0.346
Eastern Africa,1963,0.178,0.371
Eastern Africa,1963,-0.157,0.304
Eastern Africa,1963,-0.245,0.378
Middle Africa,1963,-0.121,0.418
Middle Africa,1963,0.36,0.506
Middle Africa,1963,-0.367,0.355
Middle Africa,1963,-0.406,0.317
Middle Africa,1963,-0.262,0.291
Middle Africa,1963,0.229,0.26
Middle Africa,1963,0.21,0.327
Middle Africa,1963,0.17,0.295
Middle Africa,1963,0.44,0.33
Middle Africa,1963,0.188,0.27
Middle Africa,1963,-0.298,0.301
Middle Africa,1963,0.226,0.401
Northern Africa,1963,1.337,0.767
Northern Africa,1963,0.553,0.804
Northern Africa,1963,-0.519,0.79
Northern Africa,1963,0.344,0.395
Northern Africa,1963,-1.164,0.506
Northern Africa,1963,-0.079,0.308
Northern Africa,1963,0.499,0.419
Northern Africa,1963,0.284,0.312
Northern Africa,1963,0.353,0.368
Northern Africa,1963,0.182,0.45
Northern Africa,1963,0.475,0.624
Northern Africa,1963,1.23,0.642
Southern Africa,1963,-0.678,0.706
Southern Africa,1963,0.169,0.624
Southern Africa,1963,-0.448,0.753
Southern Africa,1963,-0.581,0.617
Southern Africa,1963,-0.7,0.409
Southern Africa,1963,-0.156,0.852
Southern Africa,1963,-0.604,0.572
Southern Africa,1963,-0.178,0.61
Southern Africa,1963,1.632,0.621
Southern Africa,1963,0.847,0.685
Southern Africa,1963,0.278,0.585
Southern Africa,1963,0.093,0.58
Western Africa,1963,1.068,0.915
Western Africa,1963,1.83,0.781
Western Africa,1963,-0.571,0.701
Western Africa,1963,-0.292,0.498
Western Africa,1963,-0.524,0.425
Western Africa,1963,0.337,0.44
Western Africa,1963,0.392,0.446
Western Africa,1963,0.207,0.51
Western Africa,1963,0.535,0.478
Western Africa,1963,-0.328,0.424
Western Africa,1963,-0.215,0.437
Western Africa,1963,0.225,0.57
Northern America,1963,-0.618,0.948
Northern America,1963,0.644,1.621
Northern America,1963,-0.052,1.087
Northern America,1963,0.896,0.825
Northern America,1963,-0.136,0.519
Northern America,1963,-0.168,0.429
Northern America,1963,0.119,0.366
Northern America,1963,0.037,0.38
Northern America,1963,0.319,0.602
Northern America,1963,2.08,0.936
Northern America,1963,0.438,0.627
Northern America,1963,-0.336,1.326
Central America,1963,-0.253,0.595
Central America,1963,-0.073,0.52
Central America,1963,0.5,0.643
Central America,1963,0.682,0.461
Central America,1963,0.269,0.325
Central America,1963,0.092,0.403
Central America,1963,0.011,0.488
Central America,1963,0.14,0.385
Central America,1963,0.239,0.403
Central America,1963,0.177,0.469
Central America,1963,0.016,0.566
Central America,1963,-0.81,0.513
South America,1963,-0.022,0.263
South America,1963,-0.131,0.326
South America,1963,-0.086,0.414
South America,1963,0.305,0.418
South America,1963,-0.152,0.479
South America,1963,-0.09,0.564
South America,1963,0.447,0.495
South America,1963,0.393,0.39
South America,1963,0.268,0.334
South America,1963,0.649,0.335
