Year,count,mean,std,min,25%,50%,75%,max
1990,2873.0,0.7345816219979115,0.5017703412087322,0.142,0.389,0.56,0.956,4.373
1991,2835.0,0.7387887125220458,0.5033403201858271,0.142,0.39,0.566,0.9644999999999999,4.373
1992,2773.0,0.7385492246664263,0.5026900825506876,0.142,0.39,0.567,0.964,4.373
1993,2743.0,0.7355679912504557,0.4995927922670671,0.142,0.389,0.567,0.961,4.373
1994,2772.0,0.7326875901875902,0.4981429959434049,0.142,0.387,0.564,0.9542499999999999,4.373
1995,2781.0,0.7319888529306006,0.4973008753934232,0.142,0.388,0.564,0.95,4.373
1996,2787.0,0.7319967707212056,0.4969268287595666,0.142,0.388,0.564,0.95,4.373
1997,2745.0,0.7369092896174865,0.4983476810714275,0.142,0.392,0.568,0.956,4.373
1998,2760.0,0.7325036231884059,0.49815259141780016,0.142,0.388,0.5645,0.95,4.373
1999,2746.0,0.7331536780772032,0.49975464258584185,0.142,0.387,0.56,0.95575,4.373
2000,2741.0,0.7282283838015323,0.4956703950434532,0.142,0.387,0.559,0.945,4.373
2001,2707.0,0.7341621721462874,0.49760469629934934,0.142,0.389,0.567,0.9544999999999999,4.373
2002,2732.0,0.7313513909224011,0.49631068137211704,0.142,0.388,0.564,0.95,4.373
2003,2757.0,0.727594124047878,0.49541439560856615,0.142,0.385,0.559,0.947,4.373
2004,2764.0,0.7251552098408105,0.4944030199654074,0.142,0.385,0.5565,0.94,4.373
2005,2771.0,0.7282778780223745,0.493978724762172,0.142,0.387,0.56,0.946,4.373
2006,2794.0,0.7255204008589836,0.4929515347978541,0.142,0.385,0.558,0.942,4.373
2007,2801.0,0.724620849696537,0.49277484402918953,0.142,0.385,0.557,0.942,4.373
2008,2782.0,0.7274086987778576,0.49342781111917944,0.142,0.38725,0.56,0.94475,4.373
2009,2762.0,0.7289261404779145,0.4947314487907039,0.142,0.388,0.56,0.94875,4.373
2010,2772.0,0.72757215007215,0.49434783015759026,0.142,0.385,0.5595000000000001,0.947,4.373
2011,2755.0,0.727724500907441,0.49561052550427914,0.142,0.385,0.558,0.9484999999999999,4.373
2012,2730.0,0.7302626373626373,0.49712855535125433,0.142,0.385,0.56,0.9515,4.373
2013,2753.0,0.7285059934616781,0.49558366390834085,0.142,0.385,0.56,0.949,4.373
2014,2735.0,0.7306288848263254,0.4964922974559638,0.142,0.3855,0.563,0.95,4.373
2015,2728.0,0.7314941348973607,0.4968072090585596,0.142,0.386,0.5645,0.9522499999999999,4.373
2016,2727.0,0.7316431976530987,0.49684958029637943,0.142,0.387,0.564,0.9524999999999999,4.373
2017,2731.0,0.7307125595020139,0.49685466561121977,0.142,0.3855,0.562,0.951,4.373
2018,2724.0,0.7312287077826726,0.49711735119338674,0.142,0.38575000000000004,0.5634999999999999,0.9522499999999999,4.373
2019,2737.0,0.7299517720131532,0.4966242915934505,0.142,0.385,0.56,0.95,4.373
